VERB	WORD_ID	SENTENCE	LEMMA	PASS	PART	SCF	IN/RP	CORRECT SCF	CORRECT IN/RP	STC_ID	COMMENT
be	15	"Thirdly , you have to get better at time management and you have to [be] on time for meetings ."	be	0	0	advmod	0	advmod	0	985	#
is	3	My house [is] opposite the park and between the supermarket and restaurant .	be	0	0	prep=>pobj	opposite	prep=>pobj	opposite	988	#
looking	3	I am [looking] forward for your feedback anytime soon .	look	0	0	prep=>pobj:prt	for-forward	prep=>pobj:prt	to-forward	990	#
study	5	Also I want to [study] online for the joy of learning .	study	0	0	su	0	su	0	995	#
learning	11	Also I want to study online for the joy of [learning] .	learn	0	0	su	0	su	0	995	[learning] is used as a noun.
go	2	I [go] to the supermarket at ten o��clock .	go	0	0	prep=>pobj	to	prep=>pobj	to	998	#
renting	5	2 . Easy for [renting] out	rent	0	0	prt	out	prt	out	1	#
like	3	I would [like] to buy the house I am currently living in .	like	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	2	#
has	2	It [has] a very charming atmosphere .	have	0	0	dobj_N	0	dobj_N	0	3	#
do	3	"You can [do] that and live in luxury in my three bedrooms , two bathrooms apartment ."	do	0	0	dobj_N	0	dobj_N	0	4	#
have	4	"Although , I [have] some advice , you should consult a doctor or medical professional for help and practique sportes ."	have	0	0	dobj_N	0	dobj_N	0	5	#
are	2	You [are] aware of the fact that our town has been using hydroelectricity for 20 years already .	be	0	0	acomp	0	acomp	0	6	#
using	12	You are aware of the fact that our town has been [using] hydroelectricity for 20 years already .	use	0	0	dobj_N	0	dobj_N	0	6	#
have	2	I [have] ten years of experience and I believe I am well prepred for the position .	have	0	0	dobj_N	0	dobj_N	0	7	#
believe	9	I have ten years of experience and I [believe] I am well prepred for the position .	believe	0	0	ccomp_VTENSED	0	ccomp_VTENSED	0	7	#
Give	1	[Give] a players a total of ten turns each .	give	0	0	dobj_N:iobj	0	dobj_N:iobj	0	8	#
was	9	"When aked what the most disliked English accents [was] , 55 % people said ` those from the midlands area of the UK ' , followed by 45 % said ` liverpool accents ' ."	be	0	0	xcomp_N	0	xcomp_N	0	9	#
said	14	"When aked what the most disliked English accents was , 55 % people [said] ` those from the midlands area of the UK ' , followed by 45 % said ` liverpool accents ' ."	say	0	0	dobj_N	0	dobj_N	0	9	#
said	30	"When aked what the most disliked English accents was , 55 % people said ` those from the midlands area of the UK ' , followed by 45 % [said] ` liverpool accents ' ."	say	0	0	dobj_N	0	dobj_N	0	9	#
Starting	1	"[Starting] with a dramatic increase to two million in 2004 and a sligth increase till the midth of the following year , there was a sharp decrease to about one million ."	start	0	0	prep=>pobj	with	prep=>pobj	with	11	#
was	24	"Starting with a dramatic increase to two million in 2004 and a sligth increase till the midth of the following year , there [was] a sharp decrease to about one million ."	be	0	0	xcomp_N	0	xcomp_N	0	11	#
look	2	I [look] like my father .	look	0	0	prep=>pobj	like	prep=>pobj	like	13	#
moved	2	I [moved] to Sao Paulo in 1982 and I graduate in 1983 .	move	0	0	prep=>pobj	to	prep=>pobj	to	14	#
graduate	10	I moved to Sao Paulo in 1982 and I [graduate] in 1983 .	graduate	0	0	su	0	su	0	14	#
is	2	"This [is] not only a privilege for me , but also a huge responsibility ."	be	0	0	xcomp_N	0	xcomp_N	0	15	#
Hope	1	[Hope] to hear from you soon Eva .	hope	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	16	#
hear	3	Hope to [hear] from you soon Eva .	hear	0	0	prep=>pobj	from	prep=>pobj	from	16	#
discovers	5	"One day the butler [discovers] the dead body of Montgomery on floor of the workroom , next to the body lies a bloody jewel-encrusted dagger , the murder weapon ."	discover	0	0	dobj_N	0	dobj_N	0	18	#
looking	3	I was [looking] in the Online-shop .	look	0	0	prep=>pobj	in	prep=>pobj	in	19	#
go	3	Somtimes i [go] biking or meet friends in the city .	go	0	0	xcomp_VING	0	xcomp_VING	0	20	#
is	7	In the photo in the middle [is] me .	be	0	0	xcomp_N	0	xcomp_N	0	21	#
are	3	Sample size [are] 5000 people in the UK .	be	0	0	xcomp_N	0	xcomp_N	0	22	#
express	7	I am writing to you to [express] my point of view about Super-Mart .	express	0	0	dobj_N	0	dobj_N	0	23	#
's	2	It ['s] an outdoor job with the most amazing animals in the world !	be	0	0	xcomp_N	0	xcomp_N	0	24	#
is	6	"The objects in the painting [is] fragmented , as if seen from multiple viewpoints ."	be	0	0	acomp	0	acomp	0	25	#
has	3	The apartment [has] bathroom with jacuzziand all of them are almost fully equipped .	have	0	0	dobj_N	0	dobj_N	0	26	#
are	10	The apartment has bathroom with jacuzziand all of them [are] almost fully equipped .	be	0	0	acomp	0	acomp	0	26	#
vanished	2	"children [vanished] , in the wrong wellingtons , on foggy afternoons , andothers had to hobble home in those that were left ."	vanish	0	0	su	0	su	0	27	#
hobble	16	"children vanished , in the wrong wellingtons , on foggy afternoons , andothers had to [hobble] home in those that were left ."	hobble	0	0	prt	home	prt	home	27	#
were	21	"children vanished , in the wrong wellingtons , on foggy afternoons , andothers had to hobble home in those that [were] left ."	be	#	#		#	#	#	27	passive auxiliary => not annotated
know	2	I [know] very well how difficult it was to achieve such a great result .	know	0	0	ccomp_WHCOMP	0	ccomp_WHCOMP	0	29	#
achieve	10	I know very well how difficult it was to [achieve] such a great result .	achieve	0	0	dobj_N	0	dobj_N	0	29	#
wearing	9	"My son is called Nik , he is [wearing] a blue or brown T-shirt and a blue or black short ."	wear	0	0	dobj_N	0	dobj_N	0	30	#
want	3	Do you [want] to go with me on Tuesday dinner time ?	want	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	33	#
go	5	Do you want to [go] with me on Tuesday dinner time ?	go	0	0	prep=>pobj	with	prep=>pobj	with	33	#
be	3	It should [be] suitable not only for holiday home but also for a good investment property .	be	0	0	acomp	0	acomp	0	34	#
have	3	"We will [have] chicken sandwiches , water and winea party is reserved for 30 guests ."	have	0	0	dobj_N	0	dobj_N	0	35	#
reserved	12	"We will have chicken sandwiches , water and winea party is [reserved] for 30 guests ."	reserve	1	0	dobj_N:prep=>pobj	for	dobj_N:prep=>pobj	for	35	#
believe	4	So we should [believe] this investigation .	believe	0	0	dobj_N	0	dobj_N	0	37	#
believe	13	"Now I am working in a factory as a manager , I [believe] I have potential energy to fufill the new task ."	believe	0	0	ccomp_VTENSED	0	ccomp_VTENSED	0	38	#
have	15	"Now I am working in a factory as a manager , I believe I [have] potential energy to fufill the new task ."	have	0	0	dobj_N	0	dobj_N	0	38	#
fufill	19	"Now I am working in a factory as a manager , I believe I have potential energy to [fufill] the new task ."	fulfill	0	0	dobj_N	0	dobj_N	0	38	Spelling mistake: [fufill] should be [fulfill]
was	4	I though it [was] Mykonos so that I took off the ferry when it had stopped .	be	0	0	xcomp_N	0	xcomp_N	0	39	#
stopped	16	I though it was Mykonos so that I took off the ferry when it had [stopped] .	stop	0	0	su	0	su	0	39	#
create	10	I will persuade our local coffe shop manager to [create] special prices and promotions for different kind of students profile .	create	0	0	dobj_N	0	dobj_N	0	40	#
selected	5	"Finally , the team [selected] 3 of the slogans ."	select	0	0	dobj_N	0	dobj_N	0	41	#
need	4	"I do n't [need] a career plan , because I 'm pensioner ."	need	0	0	dobj_N	0	dobj_N	0	42	#
'm	11	"I do n't need a career plan , because I ['m] pensioner ."	be	0	0	xcomp_N	0	xcomp_N	0	42	#
feel	8	"As result of market research , we [feel] that we 're in the necessary step ."	feel	0	0	ccomp_VTENSED=>mark-that	0	ccomp_VTENSED=>mark-that	0	43	#
're	11	"As result of market research , we feel that we ['re] in the necessary step ."	be	0	0	prep=>pobj	in	prep=>pobj	in	43	"[in the necessary step] doesn't make sense, but [in + noun] is a possible SCF with [be], e.g. [be in the right group]."
are	2	There [are] many department stores and markets .	be	0	0	xcomp_N	0	xcomp_N	0	44	#
replaced	8	Why do you think you have been [replaced] ?	replace	1	0	dobj_N	0	dobj_N	0	45	#
spend	13	"I was born on November 11,1978 in a village , where I [spend] most of my childhood ."	spend	0	0	dobj_N	0	dobj_N	0	46	[spend] should read [spent] in original sentence
are	3	"The employees [are] really happy with all necessary equipment to do their job , they understand what their aims and objectives are ."	be	0	0	acomp	0	acomp	0	47	#
do	11	"The employees are really happy with all necessary equipment to [do] their job , they understand what their aims and objectives are ."	do	0	0	dobj_N	0	dobj_N	0	47	#
understand	16	"The employees are really happy with all necessary equipment to do their job , they [understand] what their aims and objectives are ."	understand	0	0	ccomp_WHCOMP	0	ccomp_WHCOMP	0	47	#
feed	6	You 'll be able to [feed] them by yourself .	feed	0	0	dobj_N	0	dobj_N	0	49	#
think	2	I [think] you should buy these .	think	0	0	ccomp_VTENSED	0	ccomp_VTENSED	0	50	#
buy	5	I think you should [buy] these .	buy	0	0	dobj_N	0	dobj_N	0	50	#
's	2	It ['s] very an exciting city .	be	0	0	xcomp_N	0	xcomp_N	0	51	#
Looking	1	"[Looking] at the article again , I have to say that the devil is not so black as it is painted - if the author succeeds in making at least one person happy , I 'm ready to take my words back ."	look	0	0	prep=>pobj	at	prep=>pobj	at	53	#
have	8	"Looking at the article again , I [have] to say that the devil is not so black as it is painted - if the author succeeds in making at least one person happy , I 'm ready to take my words back ."	have	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	53	#
say	10	"Looking at the article again , I have to [say] that the devil is not so black as it is painted - if the author succeeds in making at least one person happy , I 'm ready to take my words back ."	say	0	0	ccomp_VTENSED=>mark-that	0	ccomp_VTENSED=>mark-that	0	53	#
is	14	"Looking at the article again , I have to say that the devil [is] not so black as it is painted - if the author succeeds in making at least one person happy , I 'm ready to take my words back ."	be	0	0	acomp	0	acomp	0	53	#
painted	21	"Looking at the article again , I have to say that the devil is not so black as it is [painted] - if the author succeeds in making at least one person happy , I 'm ready to take my words back ."	paint	1	0	dobj_N	0	dobj_N	0	53	#
'm	36	"Looking at the article again , I have to say that the devil is not so black as it is painted - if the author succeeds in making at least one person happy , I ['m] ready to take my words back ."	be	0	0	acomp	0	acomp	0	53	#
learn	2	"We [learn] environment , flora and fauna ."	learn	0	0	dobj_N	0	dobj_N	0	54	#
enclosed	3	"Please find [enclosed] a budget outline -- it includes my income , expenses and savings per month ."	enclose	0	1	dobj_N	0	dobj_N	0	55	#
includes	9	"Please find enclosed a budget outline -- it [includes] my income , expenses and savings per month ."	include	0	0	dobj_N	0	dobj_N	0	55	#
is	3	"The airport [is] too big , it 's crowded , there is many strange people here , I have to say you I 'm lost ."	be	0	0	acomp	0	acomp	0	56	#
's	8	"The airport is too big , it ['s] crowded , there is many strange people here , I have to say you I 'm lost ."	be	0	0	acomp	0	acomp	0	56	#
is	12	"The airport is too big , it 's crowded , there [is] many strange people here , I have to say you I 'm lost ."	be	0	0	xcomp_N	0	xcomp_N	0	56	#
have	19	"The airport is too big , it 's crowded , there is many strange people here , I [have] to say you I 'm lost ."	have	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	56	#
'm	24	"The airport is too big , it 's crowded , there is many strange people here , I have to say you I ['m] lost ."	be	0	0	acomp	0	acomp	0	56	#
Thank	4	"Hi , Dillion [Thank] you for your email about my birthday ."	thank	0	0	dobj_N:prep=>pobj	for	dobj_N:prep=>pobj	for	57	#
think	3	But I [think] that love for children and knowledge would be quite enough to succeed in your work .	think	0	0	ccomp_VTENSED=>mark-that	0	ccomp_VTENSED=>mark-that	0	58	#
's	3	My name ['s] Luxanna I 'm form Hubei .	be	0	0	xcomp_N	0	xcomp_N	0	59	#
takes	12	"If all the bottles are knocked down , then the player [takes] two more shots and all the points are added together ."	take	0	0	dobj_N	0	dobj_N	0	60	#
like	12	"I life in a flat with 5 people , sometimes i [like] it and sometimes it 's too much for me ."	like	0	0	dobj_N	0	dobj_N	0	61	#
's	17	"I life in a flat with 5 people , sometimes i like it and sometimes it ['s] too much for me ."	be	0	0	acomp	0	acomp	0	61	#
was	3	sorry it [was] a joke .	be	0	0	xcomp_N	0	xcomp_N	0	63	#
have	2	I [have] lunch at 1 o'clock .	have	0	0	dobj_N	0	dobj_N	0	64	#
have	2	I [have] no job in the moment .	have	0	0	dobj_N	0	dobj_N	0	65	#
find	2	"I [find] this course a really practical course , where he 'll learn to analyse his current use of time and recognise his key accountabilities and value-adding tasks ."	find	0	0	dobj_N:xcomp_N	0	dobj_N:xcomp_N	0	66	#
learn	13	"I find this course a really practical course , where he 'll [learn] to analyse his current use of time and recognise his key accountabilities and value-adding tasks ."	learn	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	66	#
analyse	15	"I find this course a really practical course , where he 'll learn to [analyse] his current use of time and recognise his key accountabilities and value-adding tasks ."	analyse	0	0	dobj_N	0	dobj_N	0	66	#
recognise	22	"I find this course a really practical course , where he 'll learn to analyse his current use of time and [recognise] his key accountabilities and value-adding tasks ."	recognise	0	0	dobj_N	0	dobj_N	0	66	#
is	2	There [is] a window with cirtearn there .	be	0	0	xcomp_N	0	xcomp_N	0	67	#
decorating	3	"I 'm [decorating] my living room , talking on the fone , and cooking for dinner ."	decorate	0	0	dobj_N	0	dobj_N	0	68	#
lead	3	I 'd [lead] the student council to raise fund which can finance the out-of-town activities to enrich our school life .	lead	0	0	dobj_N:xcomp_VBARE=>aux_TO	0	dobj_N:xcomp_VBARE=>aux_TO	0	72	#
raise	8	I 'd lead the student council to [raise] fund which can finance the out-of-town activities to enrich our school life .	raise	0	0	dobj_N	0	dobj_N	0	72	#
finance	12	I 'd lead the student council to raise fund which can [finance] the out-of-town activities to enrich our school life .	finance	0	0	dobj_N	0	dobj_N	0	72	#
enrich	17	I 'd lead the student council to raise fund which can finance the out-of-town activities to [enrich] our school life .	enrich	0	0	dobj_N	0	dobj_N	0	72	#
think	2	"I [think] you should buy the orange summer skirt , the skirt is nice ."	think	0	0	ccomp_VTENSED	0	ccomp_VTENSED	0	74	#
buy	5	"I think you should [buy] the orange summer skirt , the skirt is nice ."	buy	0	0	dobj_N	0	dobj_N	0	74	#
is	13	"I think you should buy the orange summer skirt , the skirt [is] nice ."	be	0	0	acomp	0	acomp	0	74	#
Are	1	[Are] you good at cooking ?	be	0	0	acomp	0	acomp	0	76	#
cooking	5	Are you good at [cooking] ?	cook	0	0	su	0	su	0	76	#
admit	3	"I 'll [admit] that , for once , I believe the British should make a new adaptation which would be hilarious ."	admit	0	0	ccomp_VTENSED=>mark-that	0	ccomp_VTENSED=>mark-that	0	77	#
believe	10	"I 'll admit that , for once , I [believe] the British should make a new adaptation which would be hilarious ."	believe	0	0	ccomp_VTENSED	0	ccomp_VTENSED	0	77	#
make	14	"I 'll admit that , for once , I believe the British should [make] a new adaptation which would be hilarious ."	make	0	0	dobj_N	0	dobj_N	0	77	#
worked	2	I [worked] as I travelled .	work	0	0	su	0	su	0	80	#
travelled	5	I worked as I [travelled] .	travel	0	0	su	0	su	0	80	#
Let	1	[Let] 's meet each other after this time or come to visit me .	let	0	0	dobj_N:xcomp_VBARE	0	dobj_N:xcomp_VBARE	0	81	#
meet	3	Let 's [meet] each other after this time or come to visit me .	meet	0	0	dobj_N	0	dobj_N	0	81	#
come	10	Let 's meet each other after this time or [come] to visit me .	come	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	81	#
visit	12	Let 's meet each other after this time or come to [visit] me .	visit	0	0	dobj_N	0	dobj_N	0	81	#
decided	2	She [decided] to spend much time with her daughter .	decide	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	82	#
finishing	10	"First of all , I must spend four years [finishing] my university life ."	finish	0	0	dobj_N	0	dobj_N	0	83	#
having	15	"I 'm 29 years old on Saturday , December 4rd , and I 'm [having] a party ."	have	0	0	dobj_N	0	dobj_N	0	84	#
approached	3	"As she [approached] the corner at Elm and Forth , she saw a young couple got out of a car ."	approach	0	0	dobj_N	0	dobj_N	0	86	#
seized	6	It was then that she [seized] the knife and stabbed him .	seize	0	0	dobj_N	0	dobj_N	0	88	#
watch	3	I also [watch] movies - extremelly funny movie .	watch	0	0	dobj_N	0	dobj_N	0	89	#
feed	4	At 5pm I [feed] my dog again .	feed	0	0	dobj_N	0	dobj_N	0	90	#
sum	2	"To [sum] up , I want to throw a lot of bricks at her , in order to protect the young people ."	sum	0	0	prt	up	prt	up	92	#
want	6	"To sum up , I [want] to throw a lot of bricks at her , in order to protect the young people ."	want	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	92	#
protect	19	"To sum up , I want to throw a lot of bricks at her , in order to [protect] the young people ."	protect	0	0	dobj_N	0	dobj_N	0	92	#
going	4	My wife is [going] to cook a secret family recipe Lasagna .	go	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	93	#
cook	6	My wife is going to [cook] a secret family recipe Lasagna .	cook	0	0	dobj_N	0	dobj_N	0	93	#
like	2	I [like] cooking with my friend but i do n't like playing chess .	like	0	0	xcomp_VING	0	xcomp_VING	0	95	#
cooking	3	I like [cooking] with my friend but i do n't like playing chess .	cook	0	0	prep=>pobj	with	prep=>pobj	with	95	#
playing	12	I like cooking with my friend but i do n't like [playing] chess .	play	0	0	dobj_N	0	dobj_N	0	95	#
'm	2	I ['m] very reliable and organized and hard-working I 'm very outgoing and ambitious .	be	0	0	acomp	0	acomp	0	97	#
'm	10	I 'm very reliable and organized and hard-working I ['m] very outgoing and ambitious .	be	0	0	acomp	0	acomp	0	97	#
have	6	"Another thing that i will [have] to do , will be collect some information about the company , for example what kind of proffesional that they prefer to employ ."	have	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	98	#
collect	12	"Another thing that i will have to do , will be [collect] some information about the company , for example what kind of proffesional that they prefer to employ ."	collect	0	0	dobj_N	0	dobj_N	0	98	#
prefer	27	"Another thing that i will have to do , will be collect some information about the company , for example what kind of proffesional that they [prefer] to employ ."	prefer	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	98	#
employ	29	"Another thing that i will have to do , will be collect some information about the company , for example what kind of proffesional that they prefer to [employ] ."	employ	0	0	dobj_N	0	dobj_N	0	98	#
do	4	I should just [do] it and never give up .	do	0	0	dobj_N	0	dobj_N	0	100	#
give	8	I should just do it and never [give] up .	give	0	0	prt	up	prt	up	100	#
safe	6	Companies would be able to [safe] a lot of money because there would be no need for them to buy expensive equipment and to rent large offices .	save	0	0	dobj_N	0	dobj_N	0	101	#
be	14	Companies would be able to safe a lot of money because there would [be] no need for them to buy expensive equipment and to rent large offices .	be	0	0	xcomp_N	0	xcomp_N	0	101	#
buy	20	Companies would be able to safe a lot of money because there would be no need for them to [buy] expensive equipment and to rent large offices .	buy	0	0	dobj_N	0	dobj_N	0	101	#
rent	25	Companies would be able to safe a lot of money because there would be no need for them to buy expensive equipment and to [rent] large offices .	rent	0	0	dobj_N	0	dobj_N	0	101	#
go	4	But I never [go] to business trips .	go	0	0	prep=>pobj	to	prep=>pobj	to	102	#
have	8	For someone that 's called Hiro it [have] to be this way for sure .	have	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	103	#
be	10	For someone that 's called Hiro it have to [be] this way for sure .	be	0	0	xcomp_N	0	xcomp_N	0	103	#
is	6	Checking informations referent demographic groups [is] possible to notice that the men grupo there are a large allowance of age then the women one .	be	0	0	acomp	0	acomp	0	104	#
notice	9	Checking informations referent demographic groups is possible to [notice] that the men grupo there are a large allowance of age then the women one .	notice	0	0	ccomp_VTENSED=>mark-that	0	ccomp_VTENSED=>mark-that	0	104	#
are	15	Checking informations referent demographic groups is possible to notice that the men grupo there [are] a large allowance of age then the women one .	be	0	0	xcomp_N	0	xcomp_N	0	104	#
spend	2	Why [spend] a lot of money in expensive restaurants ?	spend	0	0	dobj_N	0	dobj_N	0	105	#
is	3	Our Bank [is] the first bank in our country .	be	0	0	xcomp_N	0	xcomp_N	0	106	#
lives	3	"My grandmother [lives] in Volgograd , Russia with my father , my mother and my brother ."	live	0	0	prep=>pobj	in	prep=>pobj	in	107	#
wear	4	Male employees can [wear] suits and light shirts .	wear	0	0	dobj_N	0	dobj_N	0	108	#
looking	4	"If someone is [looking] for a good translator and market options are not satisfactory , it is better to wait one more week !"	look	0	0	prep=>pobj	for	prep=>pobj	for	109	#
are	12	"If someone is looking for a good translator and market options [are] not satisfactory , it is better to wait one more week !"	be	0	0	acomp	0	acomp	0	109	#
is	5	Developing individual fitness program [is] a passion for me .	be	0	0	xcomp_N	0	xcomp_N	0	110	#
has	10	"Good morning Mr Petrov , The office in our [has] twelve desks , fourteen chairs and one table ."	have	0	0	dobj_N	0	dobj_N	0	113	#
study	5	"Furthermore , you can [study] the complementary colors and oft , small strips which given a quiet mood of the water ."	study	0	0	dobj_N	0	dobj_N	0	114	#
given	15	"Furthermore , you can study the complementary colors and oft , small strips which [given] a quiet mood of the water ."	give	0	0	dobj_N	0	dobj_N	0	114	#
is	2	There [is] big window with curtains in the livingroom .	be	0	0	xcomp_N	0	xcomp_N	0	115	#
promise	10	"If you vote me in the presidents office I [promise] that , for once , your voice will be heard ."	promise	0	0	ccomp_VTENSED=>mark-that	0	ccomp_VTENSED=>mark-that	0	117	#
have	13	"It has curved edges , bright colours , very comfortable pillows to [have] a good rest ."	have	0	0	dobj_N	0	dobj_N	0	118	#
hope	2	"I [hope] you can understand that I could n't miss this opportunity to have a family gathering only once a year , as our family members all live in different places ."	hope	0	0	ccomp_VTENSED	0	ccomp_VTENSED	0	119	#
understand	5	"I hope you can [understand] that I could n't miss this opportunity to have a family gathering only once a year , as our family members all live in different places ."	understand	0	0	ccomp_VTENSED=>mark-that	0	ccomp_VTENSED=>mark-that	0	119	#
have	14	"I hope you can understand that I could n't miss this opportunity to [have] a family gathering only once a year , as our family members all live in different places ."	have	0	0	dobj_N	0	dobj_N	0	119	#
live	28	"I hope you can understand that I could n't miss this opportunity to have a family gathering only once a year , as our family members all [live] in different places ."	live	0	0	prep=>pobj	in	prep=>pobj	in	119	#
work	3	I sometimes [work] a long hours .	work	0	0	dobj_N	0	dobj_N	0	120	#
speak	18	I could be over at your house within half an hour if you feel the urge to [speak] to somebody in person .	speak	0	0	prep=>pobj	to	prep=>pobj	to	121	#
is	4	My favourite band [is] Linkin Park .	be	0	0	xcomp_N	0	xcomp_N	0	123	#
check	5	I sometimes must to [check] the work .	check	0	0	dobj_N	0	dobj_N	0	124	#
do	7	And you will be able to [do] daily and simple activities that previously you would n't because of an irrational fear .	do	0	0	dobj_N	0	dobj_N	0	125	#
be	5	Hope Gavin 's movie [be] succesful and they will never break up .	be	0	0	acomp	0	acomp	0	126	#
urge	2	I [urge] you to apply for this job .	urge	0	0	dobj_N:xcomp_VBARE=>aux_TO	0	dobj_N:xcomp_VBARE=>aux_TO	0	128	#
apply	5	I urge you to [apply] for this job .	apply	0	0	prep=>pobj	for	prep=>pobj	for	128	#
running	8	A thousands of people like you are [running] around .	run	0	0	prt	around	prt	around	129	#
succeed	7	What steps would you take to [succeed] in a victimization case ?	succeed	0	0	prep=>pobj	in	prep=>pobj	in	130	#
live	3	"I 'm [live] in Manaus , Brazil ."	live	0	0	prep=>pobj	in	prep=>pobj	in	131	#
build	5	Further more I will [build] up a better cooperation with the head teacher which will ensure a better relation between those who make decisions and us students who are mainly affected by them .	build	0	0	dobj_N:prt	up	dobj_N:prt	up	132	#
ensure	16	Further more I will build up a better cooperation with the head teacher which will [ensure] a better relation between those who make decisions and us students who are mainly affected by them .	ensure	0	0	dobj_N	0	dobj_N	0	132	#
make	23	Further more I will build up a better cooperation with the head teacher which will ensure a better relation between those who [make] decisions and us students who are mainly affected by them .	make	0	0	dobj_N	0	dobj_N	0	132	#
does	3	She also [does] the gardening in the morning and sets the table every day at 6pm .	do	0	0	dobj_N	0	dobj_N	0	134	#
sets	10	She also does the gardening in the morning and [sets] the table every day at 6pm .	set	0	0	dobj_N	0	dobj_N	0	134	#
Avoid	1	[Avoid] giving anything purple or black as these are mourning colours .	avoid	0	0	xcomp_VING	0	xcomp_VING	0	136	#
giving	2	Avoid [giving] anything purple or black as these are mourning colours .	give	0	0	dobj_N	0	dobj_N	0	136	#
are	9	Avoid giving anything purple or black as these [are] mourning colours .	be	0	0	xcomp_N	0	xcomp_N	0	136	#
come	3	"Please , [come] and make a difference ."	come	0	0	su	0	su	0	137	#
make	5	"Please , come and [make] a difference ."	make	0	0	dobj_N	0	dobj_N	0	137	#
are	3	"You who [are] tired of taking pharmaceutical remedies , we have the ideal solution for you ."	be	0	0	acomp	0	acomp	0	139	#
taking	6	"You who are tired of [taking] pharmaceutical remedies , we have the ideal solution for you ."	take	0	0	dobj_N	0	dobj_N	0	139	#
know	2	You [know] that Modern life is impossible without travelling .	know	0	0	ccomp_VTENSED=>mark-that	0	ccomp_VTENSED=>mark-that	0	140	#
is	6	You know that Modern life [is] impossible without travelling .	be	0	0	acomp	0	acomp	0	140	#
travelling	9	You know that Modern life is impossible without [travelling] .	travel	0	0	su	0	su	0	140	#
love	2	"my [love] an sunday , my sunday get up at elven a clock , my play computer games at two clock in the night , oh , my love an sunday ."	love	0	0	dobj_N	0	dobj_N	0	141	#
get	8	"my love an sunday , my sunday [get] up at elven a clock , my play computer games at two clock in the night , oh , my love an sunday ."	get	0	0	prt	up	prt	up	141	#
play	16	"my love an sunday , my sunday get up at elven a clock , my [play] computer games at two clock in the night , oh , my love an sunday ."	play	0	0	dobj_N	0	dobj_N	0	141	#
love	29	"my love an sunday , my sunday get up at elven a clock , my play computer games at two clock in the night , oh , my [love] an sunday ."	love	0	0	dobj_N	0	dobj_N	0	141	#
clean	3	"You must [clean] the house in morning everyday , because I like my house cleanly ."	clean	0	0	dobj_N	0	dobj_N	0	142	#
live	2	I [live] in Rio de Janeiro .	live	0	0	prep=>pobj	in	prep=>pobj	in	143	#
startet	2	I [startet] elementary school in 1956 when I was seven years old and I started playing the violin when I was 7 years old .	start	0	0	dobj_N	0	dobj_N	0	144	#
playing	16	I startet elementary school in 1956 when I was seven years old and I started [playing] the violin when I was 7 years old .	play	0	0	dobj_N	0	dobj_N	0	144	#
is	4	The wall colour [is] light green .	be	0	0	acomp	0	acomp	0	146	#
travel	4	Also you will [travel] regularly to amazing places around the country to observe wild crocodiles .	travel	0	0	prep=>pobj	to	prep=>pobj	to	147	#
observe	13	Also you will travel regularly to amazing places around the country to [observe] wild crocodiles .	observe	0	0	dobj_N	0	dobj_N	0	147	#
know	5	Unfortunately I do n't [know] the English language well to communicate with local citizens easily .	know	0	0	dobj_N	0	dobj_N	0	149	#
writing	3	I 'm [writing] from the resturant in Florida .	write	0	0	prep=>pobj	from	prep=>pobj	from	150	#
is	7	The fourth stage of my plan [is] not clear right now .	be	0	0	acomp	0	acomp	0	151	#
like	3	"Would you [like] to wake up to cool , fresh sea air , in Pacific Heights setting ?"	like	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	152	#
is	5	I 'm sure this [is] by far the most exhilarating job for you .	be	0	0	xcomp_N	0	xcomp_N	0	153	#
hope	2	I [hope] you can come .	hope	0	0	ccomp_VTENSED	0	ccomp_VTENSED	0	154	#
come	5	I hope you can [come] .	come	0	0	su	0	su	0	154	#
have	3	"Do you [have] a sore throat , take a spoonful of honey and ginger every hour ."	have	0	0	dobj_N	0	dobj_N	0	155	#
take	8	"Do you have a sore throat , [take] a spoonful of honey and ginger every hour ."	take	0	0	dobj_N	0	dobj_N	0	155	#
like	2	I [like] of my life and of my work .	like	0	0	prep=>pobj	of	dobj_N	0	156	#
coming	5	I highly appreciate your [coming] to listen my campaign speech for student council president .	come	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	157	#
